"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4
"2",2,22,61,99,83,130,223,226,260,341,426,505,1120,1970,1360,827,1411,1400,470,30,2
"3",0.00182381907714755,0.020062009848623,0.0556264818530004,0.0902790443188035,0.0756884917016231,0.11854824001459,0.203355827101951,0.206091555717674,0.237096480029181,0.310961152653656,0.388473463432427,0.460514316979755,1.02133868320263,1.79646179099032,1.24019697246034,0.75414918840051,1.28670435892759,1.27667335400329,0.428597483129671,0.0273572861572133,0.00182381907714755
