"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7
"2",2,1,4,4,14,26,48,74,111,199,405,765,1238,1821,1875,1703,1191,581,241,92,20,2,2
"3",0.00383987712393205,0.00191993856196601,0.0076797542478641,0.00767975424786403,0.0268791398675243,0.0499184026111162,0.0921570509743691,0.142075453585486,0.213113180378227,0.382067773831239,0.777575117596233,1.46875299990401,2.37688393971394,3.4962081213401,3.59988480368629,3.26965537102811,2.28664682730153,1.11548430450226,0.462705193433808,0.176634347700874,0.0383987712393201,0.00383987712393205,0.00383987712393205
