"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10
"2",9,56,198,502,792,1180,1379,1298,1534,1729,1261,660,260,93,14,1,9
"3",8.20718584716396e-05,0.000510669341601313,0.00180558088637607,0.00457778588364034,0.00722232354550429,0.0107605325551705,0.0125752325369323,0.0118365858106876,0.0139886923217217,0.0157669159219405,0.0114991792814153,0.0060186029545869,0.00237096480029181,0.000848075870873609,0.000127667335400328,9.11909538573774e-06,8.20718584716396e-05
