"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3
"2",3,3,20,60,299,601,735,434,198,131,307,936,2122,3099,1978,546,211,58,8,3
"3",0.00255340880074901,0.00255340880074899,0.0170227253383267,0.0510681760149797,0.254489743807985,0.511532896416718,0.625585156183502,0.36939313984169,0.168524980849433,0.11149885096604,0.261298833943313,0.796663545833691,1.80611115839645,2.63767129117373,1.68354753596051,0.464720401736316,0.179589752319347,0.0493659034811471,0.00680909013533069,0.00255340880074901
