"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,20,40,60,80,100,120,140,160,180,200,220
"2",5,55,661,2008,2255,1605,2278,2053,684,136,9,5
"3",2.12784066729083e-05,0.000234062473401992,0.00281300536215848,0.00854540811983999,0.00959656140948166,0.00683036854200357,0.00969444208017704,0.00873691377989616,0.00291088603285386,0.000578772661503107,3.8301132011235e-05,2.12784066729083e-05
