"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4
"2",3,9,29,68,133,169,134,113,250,691,1263,1483,1892,1521,488,83,4,3
"3",0.00360014400576023,0.0108004320172807,0.0348013920556822,0.0816032641305652,0.15960638425537,0.202808112324493,0.160806432257291,0.135605424216969,0.300012000480019,0.829233169326776,1.51566062642506,1.77967118684747,2.27049081963278,1.82527301092044,0.585623424937,0.0996039841593663,0.0048001920076803,0.00360014400576023
