"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50
"2",1,10,61,216,998,2146,2367,1879,1387,799,389,108,42,14,1
"3",9.59969280983008e-06,9.59969280983009e-05,0.000585581261399635,0.0020735336469233,0.00958049342421042,0.0206009407698954,0.0227224728808678,0.0180378227896707,0.0133147739272343,0.00767015455505424,0.0037342805030239,0.00103676682346165,0.000403187098012864,0.000134395699337621,9.59969280983008e-06
