"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0
"2",13,81,251,554,932,867,946,1157,1176,1067,745,378,122,28,14,1,1,13
"3",0.00015600624024961,0.000972038881555262,0.00301212048481939,0.00664826593063723,0.0111844473778951,0.0104044161766471,0.0113524540981639,0.0138845553822153,0.0141125645025801,0.0128045121804872,0.00894035761430457,0.00453618144725789,0.00146405856234249,0.000336013440537621,0.000168006720268811,1.20004800192008e-05,1.20004800192008e-05,0.00015600624024961
